2021年10月21日16时52分35秒	JJparents-11  执行步骤:获取进入场
2021年10月21日16时52分35秒	JJparents-11  执行步骤:更新昵称
2021年10月21日16时52分34秒	JJparents-11  执行步骤:更新金币数
2021年10月21日16时52分24秒	JJparents-4  执行步骤:打开模拟器
2021年10月21日16时52分19秒	JJparents-4  执行步骤:关闭模拟器
2021年10月21日16时52分19秒	JJparents-9  执行步骤:登录JJ斗地主
2021年10月21日16时52分10秒	JJparents-11  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时52分9秒	JJparents-11  执行步骤:登录结果:登录成功
2021年10月21日16时51分47秒	JJparents-9  执行步骤:运行JJ斗地主app
2021年10月21日16时51分46秒	JJparents-9  执行步骤:绑定模拟器
2021年10月21日16时51分46秒	绑定模拟器 name:JJparents-9 hwnd:6293126
2021年10月21日16时51分41秒	JJparents-9  执行步骤:清除模拟器数据
2021年10月21日16时51分30秒	JJparents-9  执行步骤:打开模拟器
2021年10月21日16时51分25秒	JJparents-9  执行步骤:关闭模拟器
2021年10月21日16时51分25秒	JJparents-11  执行步骤:登录JJ斗地主
2021年10月21日16时51分19秒	JJparents-1  执行步骤:等待报名
2021年10月21日16时51分17秒	JJparents-1  执行步骤:点开报名界面
2021年10月21日16时51分17秒	JJparents-1  执行步骤:获取进入场
2021年10月21日16时51分17秒	JJparents-1  执行步骤:更新昵称
2021年10月21日16时51分17秒	JJparents-1  执行步骤:更新金币数
2021年10月21日16时50分56秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时50分55秒	JJparents-1  执行步骤:登录结果:登录成功
2021年10月21日16时50分16秒	JJparents-11  执行步骤:运行JJ斗地主app
2021年10月21日16时50分16秒	JJparents-11  执行步骤:绑定模拟器
2021年10月21日16时50分16秒	绑定模拟器 name:JJparents-11 hwnd:1117768
2021年10月21日16时50分3秒	JJparents-1  执行步骤:登录失败
2021年10月21日16时50分3秒	JJparents-1  执行步骤:登录结果:账号被封
2021年10月21日16时50分1秒	JJparents-11  执行步骤:清除模拟器数据
2021年10月21日16时49分51秒	JJparents-11  执行步骤:打开模拟器
2021年10月21日16时49分51秒	JJparents-11  执行步骤:关闭模拟器
2021年10月21日16时49分51秒	JJparents-1  执行步骤:登录JJ斗地主
2021年10月21日16时49分8秒	JJparents-1  执行步骤:运行JJ斗地主app
2021年10月21日16时49分8秒	JJparents-1  执行步骤:绑定模拟器
2021年10月21日16时49分8秒	绑定模拟器 name:JJparents-1 hwnd:1577568
2021年10月21日16时49分	JJparents-1  执行步骤:清除模拟器数据
2021年10月21日16时48分49秒	JJparents-1  执行步骤:打开模拟器
2021年10月21日16时48分44秒	JJparents-1  执行步骤:关闭模拟器
2021年10月21日16时40分36秒	JJparents-6  执行步骤:  等待报名
2021年10月21日16时40分35秒	JJparents-4  执行步骤:  等待报名
2021年10月21日16时40分34秒	JJparents-6  执行步骤:点开报名界面
